geo,year,houses_completed_thousands,sqft_under_1400,sqft_1400_1799,sqft_1800_2399,sqft_2400_2999,sqft_3000_3999,sqft_4000_plus,garage_1_car,garage_2_car,garage_3_plus_car,carport,no_garage_or_carport,any_garage,basement_full_or_partial,slab_or_other,crawl_space,baths_1_5_or_less,baths_2,baths_2_5,baths_3_plus,heat_forced_air_furnace,heat_pump_total,heat_pump_air_source,heat_pump_ground_source,heat_hot_water_or_steam,heat_other_or_none,with_ac,without_ac,no_fireplace,fireplace_1,fireplace_2_plus,median_sqft,average_sqft,stories_1,stories_2,stories_3_plus,lot_under_7000,lot_7000_8999,lot_9000_10999,lot_11000_21999,lot_22000_plus,with_basement_total,laundry_in_basement,with_basement_laundry_first_floor,with_basement_laundry_higher_floor,without_basement_total,without_basement_laundry_first_floor,without_basement_laundry_higher_floor,with_foyer_total,with_foyer_2_stories,with_foyer_3_plus,without_foyer_total,without_foyer_2_stories,without_foyer_3_plus,patio_only,porch_only,deck_only,patio_and_porch,porch_and_deck,patio_and_deck,patio_porch_and_deck,no_outdoor_feature,any_patio,any_porch,any_deck,bedrooms_2_or_less,bedrooms_3,bedrooms_4_plus
Midwest,1971,208.0,,,,,,,15.0,53.0,,3.0,29.0,68.0,72.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midwest,1972,231.0,,,,,,,15.0,57.0,,3.0,24.0,73.0,74.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midwest,1973,262.0,,,,,,,14.0,63.0,,3.0,21.0,76.0,76.0,11.0,13.0,56.0,25.0,18.0,,75.0,,,,5.0,19.0,35.0,65.0,62.0,33.0,4.0,1445.0,1615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,68.0,21.0
Midwest,1974,220.0,,,,,,,14.0,66.0,,,19.0,,80.0,8.0,12.0,51.0,29.0,21.0,,71.0,,,,6.0,24.0,36.0,64.0,55.0,39.0,6.0,1490.0,1660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,64.0,23.0
Midwest,1975,218.0,,,,,,,11.0,64.0,,2.0,24.0,74.0,79.0,8.0,13.0,54.0,28.0,18.0,,72.0,,,,5.0,22.0,35.0,65.0,53.0,42.0,6.0,1460.0,1580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,65.0,19.0
Midwest,1976,271.0,,,,,,,11.0,69.0,,1.0,19.0,80.0,81.0,8.0,12.0,48.0,31.0,22.0,,75.0,,,,4.0,21.0,40.0,60.0,50.0,44.0,6.0,1495.0,1655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,67.0,20.0
Midwest,1977,300.0,,,,,,,11.0,69.0,,1.0,19.0,80.0,83.0,6.0,11.0,46.0,32.0,22.0,,75.0,,,,4.0,21.0,44.0,56.0,47.0,47.0,7.0,1540.0,1650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,69.0,20.0
Midwest,1978,300.0,,,,,,,10.0,72.0,,1.0,16.0,83.0,82.0,8.0,10.0,41.0,33.0,26.0,,65.0,18.0,,,5.0,12.0,47.0,53.0,43.0,50.0,7.0,1615.0,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,66.0,22.0
Midwest,1979,294.0,,,,,,,10.0,74.0,,2.0,15.0,83.0,81.0,9.0,11.0,39.0,34.0,27.0,,69.0,15.0,,,5.0,11.0,47.0,53.0,43.0,51.0,6.0,1605.0,1720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,64.0,22.0
Midwest,1980,170.0,,,,,,,12.0,66.0,,2.0,20.0,78.0,77.0,11.0,12.0,41.0,33.0,26.0,,69.0,12.0,,,5.0,14.0,45.0,55.0,51.0,43.0,7.0,1520.0,1685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,62.0,18.0
Midwest,1981,140.0,,,,,,,15.0,61.0,,,23.0,,77.0,10.0,13.0,43.0,31.0,26.0,,70.0,11.0,,,4.0,15.0,48.0,52.0,53.0,40.0,7.0,1480.0,1670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,56.0,19.0
Midwest,1982,92.0,,,,,,,21.0,54.0,,,23.0,,73.0,13.0,14.0,50.0,28.0,22.0,,66.0,7.0,,,3.0,23.0,43.0,57.0,58.0,38.0,4.0,1405.0,1655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,53.0,17.0
Midwest,1983,142.0,,,,,,,13.0,65.0,,2.0,20.0,78.0,74.0,13.0,13.0,43.0,31.0,27.0,,72.0,11.0,,,3.0,14.0,50.0,50.0,55.0,41.0,5.0,1515.0,1735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,52.0,19.0
Midwest,1984,156.0,,,,,,,14.0,70.0,,,15.0,,78.0,12.0,11.0,36.0,32.0,31.0,,78.0,8.0,,,3.0,11.0,55.0,45.0,46.0,48.0,6.0,1600.0,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,54.0,21.0
Midwest,1985,151.0,,,,,,,13.0,73.0,,,13.0,,77.0,11.0,13.0,33.0,36.0,31.0,,80.0,10.0,,,3.0,8.0,59.0,41.0,45.0,47.0,8.0,1625.0,1820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,55.0,20.0
Midwest,1986,170.0,,,,,,,10.0,79.0,,,11.0,,77.0,11.0,12.0,27.0,37.0,36.0,,83.0,9.0,,,2.0,6.0,62.0,38.0,42.0,53.0,5.0,1685.0,1855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,57.0,23.0
Midwest,1987,201.0,,,,,,,10.0,80.0,,,10.0,,77.0,13.0,11.0,25.0,35.0,28.0,13.0,87.0,6.0,,,2.0,5.0,67.0,33.0,41.0,53.0,6.0,1740.0,1890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,57.0,25.0
Midwest,1988,191.0,,,,,,,7.0,84.0,,,8.0,,81.0,9.0,11.0,20.0,35.0,31.0,14.0,88.0,6.0,,,2.0,4.0,71.0,29.0,37.0,56.0,7.0,1840.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,56.0,28.0
Midwest,1989,191.0,,,,,,,8.0,83.0,,,8.0,,79.0,10.0,11.0,22.0,34.0,30.0,14.0,89.0,5.0,,,2.0,5.0,73.0,27.0,40.0,52.0,8.0,1800.0,1970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,57.0,27.0
Midwest,1990,195.0,,,,,,,8.0,83.0,,,9.0,,81.0,8.0,11.0,18.0,36.0,29.0,16.0,89.0,5.0,,,2.0,4.0,75.0,25.0,39.0,54.0,6.0,1850.0,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,57.0,27.0
Midwest,1991,185.0,,,,,,,8.0,83.0,,,9.0,,80.0,8.0,12.0,20.0,36.0,30.0,14.0,87.0,6.0,,,2.0,5.0,75.0,25.0,41.0,53.0,6.0,1800.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,58.0,26.0
Midwest,1992,218.0,,,,,,,5.0,69.0,16.0,,9.0,,82.0,8.0,11.0,21.0,30.0,37.0,12.0,85.0,9.0,,,2.0,4.0,77.0,23.0,41.0,54.0,6.0,1870.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,57.0,28.0
Midwest,1993,232.0,,,,,,,4.0,67.0,18.0,,10.0,,80.0,9.0,10.0,19.0,33.0,36.0,12.0,86.0,8.0,,,2.0,4.0,78.0,22.0,41.0,54.0,6.0,1855.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,57.0,28.0
Midwest,1994,255.0,,,,,,,5.0,67.0,19.0,,9.0,,78.0,10.0,11.0,17.0,33.0,38.0,13.0,85.0,9.0,,,2.0,3.0,80.0,20.0,39.0,55.0,5.0,1850.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,56.0,29.0
Midwest,1995,232.0,,,,,,,6.0,64.0,20.0,,9.0,,79.0,10.0,11.0,18.0,31.0,38.0,13.0,87.0,8.0,,,2.0,3.0,80.0,20.0,39.0,56.0,5.0,1850.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,54.0,28.0
Midwest,1996,245.0,,,,,,,6.0,64.0,21.0,,9.0,,76.0,11.0,12.0,17.0,33.0,39.0,11.0,89.0,7.0,,,2.0,2.0,83.0,17.0,40.0,57.0,3.0,1900.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,56.0,27.0
