geo,year,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_finished_basement_all_homes,pct_basement_heated_of_basements,pct_attic,pct_attic_finished_of_attics,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_no_heating,avg_full_baths,pct_2plus_full_baths,pct_owners_count_basement_in_sqft,pct_owners_count_attic_in_sqft,pct_owners_count_garage_in_sqft
US,2009,78.553,2422.0,2002.0,1522.0,100.0,91.4,40.9,51.8,21.2,56.1,35.9,8.7,54.3,22.8,67.0,10.1,58.8,37.7,2.0,1.5,67.2,10.3,0.0,2.0,1.81,63.6,,,
US,2015,80.881,2486.0,2151.0,1707.0,100.0,91.3,43.5,58.5,25.5,65.1,56.1,16.5,58.0,24.3,64.6,11.1,58.8,36.5,2.2,2.6,65.6,13.4,0.0,2.5,1.85,66.7,,,
US,2020,84.519,2207.0,1951.0,1638.0,100.0,91.2,43.6,58.9,25.7,68.0,66.9,13.6,61.3,21.8,66.0,12.2,55.8,38.4,3.1,2.7,68.6,12.7,0.7,3.1,1.92,70.7,38.6,13.4,22.9
US,2024,91.159,2248.0,1945.0,1667.0,100.0,90.5,42.9,58.9,25.3,,69.2,14.4,62.4,21.3,64.8,13.9,55.0,39.1,3.3,2.6,,,,,1.97,73.4,39.9,13.9,22.5
Northeast,2009,12.662,2843.0,2150.0,1237.0,100.0,85.7,80.9,40.8,33.0,40.0,45.9,12.7,49.7,40.3,51.2,8.5,30.7,62.9,4.0,2.4,52.3,2.6,0.0,0.0,1.64,51.2,,,
Northeast,2015,12.671,2838.0,2342.0,1376.0,100.0,85.3,84.4,50.6,42.7,54.8,57.1,20.9,51.3,47.8,45.2,7.0,28.4,64.4,3.9,3.2,61.6,4.5,0.0,,1.66,54.8,,,
Northeast,2020,13.179,2414.0,2052.0,1322.0,100.0,85.2,84.9,50.9,43.2,53.6,64.3,17.1,52.1,39.9,53.9,6.2,27.7,62.7,6.5,3.2,63.7,2.9,0.9,0.1,1.75,58.6,30.8,17.9,18.1
Northeast,2024,13.809,2421.0,2030.0,1344.0,100.0,84.5,85.7,47.6,40.8,,67.3,17.2,51.7,40.0,54.7,5.3,28.4,63.2,5.4,3.0,,,,,1.74,59.8,29.5,17.2,19.0
Midwest,2009,19.231,2721.0,2249.0,1664.0,100.0,93.5,74.4,54.8,40.8,66.1,29.3,9.2,53.1,21.7,66.3,12.0,52.9,43.3,1.5,2.3,84.3,3.2,0.0,0.2,1.67,51.5,,,
Midwest,2015,19.439,2752.0,2433.0,1987.0,100.0,93.4,78.7,59.9,47.2,76.2,54.8,14.3,59.4,20.5,67.0,12.5,54.3,38.6,2.7,4.4,84.4,4.6,0.0,0.0,1.75,58.8,,,
Midwest,2020,19.916,2371.0,2184.0,1858.0,100.0,93.3,78.5,57.8,45.4,78.7,66.6,11.1,61.9,18.6,66.2,15.2,53.0,39.9,2.6,4.5,85.7,3.7,0.2,0.3,1.79,60.2,36.1,12.9,15.1
Midwest,2024,21.016,2386.0,2179.0,1866.0,100.0,92.7,78.2,59.3,46.4,,67.1,11.7,60.0,17.0,64.4,18.6,50.6,41.4,3.8,4.1,,,,,1.84,64.0,38.2,13.4,13.8
South,2009,29.738,2232.0,1945.0,1843.0,100.0,92.8,15.4,56.4,8.7,55.1,45.2,7.0,50.3,20.3,72.9,6.8,69.0,29.1,1.4,0.5,63.1,20.4,0.0,1.5,1.91,72.1,,,
South,2015,30.975,2326.0,2000.0,1866.0,100.0,92.6,18.0,60.1,10.8,56.1,63.2,17.6,52.4,23.6,68.0,8.4,70.1,27.1,1.3,1.4,56.0,24.5,0.0,3.3,1.92,71.0,,,
South,2020,32.763,2138.0,1858.0,1791.0,100.0,92.4,18.4,66.3,12.2,64.6,75.5,14.5,58.4,20.8,70.3,8.8,65.3,31.3,1.9,1.5,58.0,26.0,0.7,4.7,2.02,77.4,45.9,13.0,28.2
South,2024,36.277,2210.0,1859.0,1807.0,100.0,91.7,18.3,68.7,12.6,,78.4,15.9,61.7,20.2,69.1,10.8,63.6,32.5,2.4,1.5,,,,,2.08,79.8,51.4,14.5,28.1
West,2009,16.922,2100.0,1712.0,1009.0,100.0,91.0,17.8,67.9,12.1,64.8,19.7,7.6,66.1,17.5,68.8,13.7,68.7,27.6,2.1,1.7,66.3,6.3,0.0,6.4,1.92,71.6,,,
West,2015,17.796,2224.0,1970.0,1362.0,100.0,91.1,20.5,73.2,15.0,62.5,44.2,12.6,70.7,16.6,68.1,15.3,65.5,30.4,1.8,2.3,64.8,10.1,0.0,5.6,1.98,76.2,,,
West,2020,18.661,2009.0,1796.0,1359.0,100.0,91.0,21.4,74.8,16.0,72.2,53.8,11.6,72.2,16.7,65.9,17.4,61.9,32.3,3.3,2.5,72.1,6.1,1.2,5.5,2.03,78.5,59.5,11.6,24.8
West,2024,20.057,2052.0,1796.0,1430.0,100.0,90.1,21.0,73.5,15.4,,56.1,11.3,73.7,17.8,63.4,18.8,62.4,32.1,3.0,2.5,,,,,2.09,81.1,58.2,10.2,23.3
