state,year,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_finished_basement_all_homes,pct_basement_heated_of_basements,pct_attic,pct_attic_finished_of_attics,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_no_heating,avg_full_baths,pct_2plus_full_baths,pct_owners_count_basement_in_sqft,pct_owners_count_attic_in_sqft,pct_owners_count_garage_in_sqft
AZ,2009,1.535,2217.0,1925.0,1892.0,100.0,95.0,3.5,,1.8,,18.9,3.6,82.1,6.4,72.1,21.5,81.6,17.2,1.2,0.0,60.4,32.7,0.0,2.9,2.09,87.6,,,
AZ,2020,1.916,2025.0,1839.0,1816.0,100.0,93.9,2.9,66.0,1.9,36.6,52.4,10.8,80.1,8.4,65.9,25.7,81.1,17.7,0.7,0.5,58.8,26.2,0.8,6.2,2.11,89.1,49.7,8.5,21.0
AZ,2024,2.123,2086.0,1780.0,1788.0,100.0,92.6,3.0,82.1,2.5,,55.1,9.5,74.3,12.7,61.5,25.8,77.3,20.6,1.2,0.9,,,,,2.13,90.4,31.2,11.5,22.4
CA,2009,7.915,1990.0,1523.0,972.0,100.0,89.2,6.8,43.7,3.0,20.4,20.3,8.1,69.2,16.8,70.5,12.7,69.9,27.3,2.0,0.8,68.3,1.3,0.0,9.4,1.92,71.4,,,
CA,2020,8.554,1851.0,1603.0,1234.0,100.0,88.6,8.2,53.5,4.4,14.0,55.0,12.0,72.9,18.4,66.4,15.1,64.6,30.8,3.2,1.4,75.5,2.5,0.7,6.7,1.98,76.7,34.7,12.7,28.3
CA,2024,8.959,1890.0,1600.0,1296.0,100.0,88.4,7.9,44.1,3.5,,56.0,13.4,74.6,19.6,67.1,13.3,65.3,30.3,3.1,1.3,,,,,2.06,78.8,19.5,9.8,24.8
CO,2009,1.405,2514.0,2177.0,852.0,100.0,85.5,57.0,65.3,37.2,75.1,24.5,2.5,61.8,14.4,64.8,20.8,54.3,36.8,7.0,2.0,74.7,0.0,0.0,1.1,1.95,65.0,,,
CO,2020,1.581,2458.0,2379.0,1852.0,100.0,90.7,72.6,75.2,54.6,91.5,55.1,3.2,73.1,16.8,63.7,19.5,42.2,46.5,5.6,5.6,88.2,0.7,0.0,0.0,2.22,80.2,62.9,11.8,15.3
CO,2024,1.736,2449.0,2330.0,1774.0,100.0,88.8,66.6,84.0,56.0,,61.9,5.2,76.4,14.3,56.8,28.9,52.0,37.7,5.4,4.8,,,,,2.28,84.1,68.2,8.4,22.9
FL,2009,4.455,2026.0,1783.0,1851.0,100.0,94.1,0.4,,0.2,,26.7,8.8,63.9,22.7,69.4,7.9,85.8,13.3,0.3,0.6,58.3,28.5,0.0,6.9,2.01,83.3,,,
FL,2020,5.175,1923.0,1418.0,1732.0,100.0,90.0,1.4,,1.0,,64.2,7.6,73.7,25.0,65.8,9.2,82.0,16.9,0.7,0.4,36.2,34.9,1.2,22.9,2.05,84.7,,12.3,29.2
FL,2024,5.976,1985.0,1360.0,1784.0,100.0,88.6,1.8,,1.8,,70.9,8.9,79.9,22.1,65.2,12.7,79.5,18.9,1.0,0.6,,,,,2.18,89.7,,14.2,29.8
GA,2009,2.754,2623.0,2236.0,2136.0,100.0,96.3,19.5,50.5,9.9,41.5,56.3,3.4,62.0,8.0,87.3,4.7,53.8,43.2,1.8,1.2,74.4,16.9,0.0,0.0,2.09,81.2,,,
GA,2020,2.954,2271.0,2031.0,1898.0,100.0,91.0,21.1,69.7,14.7,60.9,79.9,15.0,58.3,16.5,78.3,5.2,51.5,42.3,3.3,2.9,63.3,25.6,0.7,0.8,2.18,82.1,50.3,14.1,31.3
GA,2024,3.06,2529.0,2175.0,2058.0,100.0,93.4,25.8,70.0,18.0,,82.9,15.8,64.8,10.4,80.5,9.1,51.6,42.8,2.7,2.8,,,,,2.26,84.1,55.5,11.7,24.6
IL,2009,3.266,2774.0,2390.0,1865.0,100.0,95.6,67.1,60.4,40.5,73.7,32.9,9.9,49.9,19.9,72.4,7.7,48.9,45.2,1.1,4.7,85.6,0.9,0.0,0.0,1.77,56.1,,,
IL,2020,3.09,2444.0,2232.0,2046.0,100.0,91.2,77.6,57.8,44.9,78.2,65.3,11.6,58.1,16.2,68.4,15.4,44.4,46.4,3.7,5.5,88.8,1.6,0.0,0.7,1.86,65.1,33.8,14.0,17.2
IL,2024,3.354,2559.0,2343.0,2082.0,100.0,90.3,77.5,61.4,47.6,,67.6,10.7,62.7,14.2,63.3,22.5,47.7,45.7,2.3,4.2,,,,,1.95,72.2,33.0,11.1,11.4
MA,2009,1.309,2916.0,2104.0,947.0,100.0,89.2,87.1,35.0,30.5,33.4,42.7,13.6,36.5,40.1,56.5,3.4,28.7,65.2,5.4,0.8,45.3,0.3,0.0,0.0,1.6,49.0,,,
MA,2020,1.546,2501.0,2023.0,1132.0,100.0,90.0,93.0,49.8,46.3,44.1,72.0,14.7,46.5,31.4,63.2,5.5,24.6,66.2,8.1,1.1,63.7,0.9,1.2,0.3,1.75,59.3,31.2,14.7,11.9
MA,2024,1.608,2526.0,2084.0,1275.0,100.0,89.2,91.2,50.4,45.9,,69.9,16.1,45.5,36.6,57.1,6.2,26.4,65.9,6.0,1.7,,,,,1.78,61.7,27.3,17.7,15.9
MI,2009,2.758,2389.0,1854.0,1174.0,100.0,96.2,82.8,54.1,44.7,59.0,29.0,5.9,36.1,14.4,80.9,4.7,47.6,49.3,1.6,1.5,86.8,0.8,0.0,0.6,1.49,41.4,,,
MI,2020,3.01,2329.0,2170.0,1578.0,100.0,93.0,80.4,59.9,48.2,79.7,73.8,10.7,56.2,13.5,80.2,6.2,55.1,39.0,3.1,2.8,88.5,0.9,0.0,0.0,1.65,52.8,29.1,9.7,11.1
MI,2024,3.201,2369.0,2192.0,1715.0,100.0,93.4,86.0,56.8,48.8,,65.1,9.0,55.3,11.7,75.3,13.0,44.0,48.7,3.3,4.0,,,,,1.73,57.0,27.3,14.0,8.5
