state,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,median_total_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_basement_heated_of_basements,pct_basement_cooled_of_basements,pct_finished_basement_all_homes,pct_owners_count_basement_in_sqft,pct_attic,pct_attic_finished_of_attics,pct_attic_heated_of_attics,pct_owners_count_attic_in_sqft,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_owners_count_garage_in_sqft,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_heat_boiler,pct_heat_electric_baseboard,pct_no_heating,pct_ac_central,pct_ac_mini_split,pct_ac_window,pct_no_ac,avg_full_baths,avg_half_baths,pct_2plus_full_baths,pct_built_2000_or_later,pct_built_before_1950,climate_zone_main,climate_zone_main_pct,iecc_zone_main
US,84.519,2207.0,1951.0,1638.0,1980.0,100.0,91.2,43.6,58.9,68.0,51.2,25.7,38.6,66.9,13.6,6.3,13.4,61.3,21.8,66.0,12.2,22.9,55.8,38.4,3.1,2.7,68.6,12.7,0.7,5.7,2.5,3.1,74.4,1.5,11.8,9.7,1.92,0.42,70.7,20.7,17.4,Cold,35.1,5A
AK,0.188,2056.0,2007.0,43.0,1950.0,100.0,84.8,24.9,75.0,85.0,,18.7,72.1,33.0,12.5,10.1,20.3,66.6,30.9,55.3,13.8,28.5,33.7,55.6,5.3,5.4,38.9,0.3,0.0,36.0,2.9,0.4,1.2,0.4,2.8,93.1,1.85,0.45,69.4,28.8,4.4,Very-Cold,77.6,7AK
AL,1.342,2043.0,1794.0,1618.0,1650.0,100.0,97.3,19.3,63.9,50.9,39.3,12.3,33.3,71.3,10.5,4.1,10.1,41.4,25.4,70.9,3.7,25.2,79.5,18.1,0.2,2.2,46.8,38.8,0.0,0.0,0.6,0.0,83.8,0.0,11.4,4.8,1.89,0.27,71.3,23.1,13.3,Mixed-Humid,62.3,3A
AR,0.873,2065.0,1830.0,1572.0,1730.0,100.0,96.0,10.3,75.3,56.3,51.9,7.8,37.7,75.4,21.6,6.9,11.8,55.4,18.8,71.7,9.5,24.3,84.3,14.2,0.0,1.5,64.4,17.3,0.9,0.0,2.6,0.3,75.1,0.9,16.6,6.2,1.85,0.27,64.9,22.2,12.6,Mixed-Humid,97.0,3A
AZ,1.916,2025.0,1839.0,1816.0,1800.0,100.0,93.9,2.9,66.0,36.6,29.1,1.9,49.7,52.4,10.8,7.4,8.5,80.1,8.4,65.9,25.7,21.0,81.1,17.7,0.7,0.5,58.8,26.2,0.8,0.4,1.6,6.2,88.5,0.6,3.2,4.9,2.11,0.25,89.1,35.8,3.9,Hot-Dry,90.3,2B
CA,8.554,1851.0,1603.0,1234.0,1700.0,100.0,88.6,8.2,53.5,14.0,10.1,4.4,34.7,55.0,12.0,4.2,12.7,72.9,18.4,66.4,15.1,28.3,64.6,30.8,3.2,1.4,75.5,2.5,0.7,0.8,1.4,6.7,62.4,1.5,7.0,25.0,1.98,0.31,76.7,15.4,15.1,Hot-Dry,73.7,3B
CO,1.581,2458.0,2379.0,1852.0,2230.0,100.0,90.7,72.6,75.2,91.5,72.3,54.6,62.9,55.1,3.2,1.0,11.8,73.1,16.8,63.7,19.5,15.3,42.2,46.5,5.6,5.6,88.2,0.7,0.0,5.7,2.0,0.0,64.6,0.6,4.3,16.6,2.22,0.49,80.2,25.4,10.9,Cold,98.6,5B
CT,0.913,2604.0,2147.0,1425.0,2250.0,100.0,91.6,90.5,43.3,45.2,17.4,39.2,32.4,71.5,9.0,7.3,14.5,57.2,33.2,52.3,14.6,17.7,27.7,63.4,5.4,3.5,70.6,1.4,0.4,21.0,4.0,0.0,45.6,3.4,40.9,6.5,1.84,0.59,62.4,11.4,28.7,Cold,100.0,5A
DC,0.087,2117.0,1877.0,1644.0,1950.0,100.0,30.8,78.3,93.4,79.5,58.6,73.2,53.4,47.9,16.7,9.0,26.1,24.1,75.0,25.0,0.0,28.7,0.0,79.9,20.1,0.0,62.7,5.5,1.2,24.8,1.1,2.3,78.5,1.2,14.2,5.0,2.21,0.66,85.0,5.3,73.1,Mixed-Humid,100.0,4A
DE,0.282,2425.0,2104.0,1906.0,2100.0,100.0,86.8,57.2,48.0,49.9,40.1,27.5,32.5,70.1,6.1,1.3,9.1,65.7,21.8,73.1,5.1,12.1,41.4,53.4,5.1,0.0,64.2,19.0,2.2,3.1,6.7,0.0,86.0,2.2,9.3,2.6,1.92,0.55,74.4,32.2,8.4,Mixed-Humid,100.0,4A
FL,5.175,1923.0,1418.0,1732.0,1770.0,100.0,90.0,1.4,,,,1.0,,64.2,7.6,4.3,12.3,73.7,25.0,65.8,9.2,29.2,82.0,16.9,0.7,0.4,36.2,34.9,1.2,0.0,2.0,22.9,93.6,0.6,1.6,4.0,2.05,0.26,84.7,29.4,5.8,Hot-Humid,100.0,2A
GA,2.954,2271.0,2031.0,1898.0,1950.0,100.0,91.0,21.1,69.7,60.9,58.9,14.7,50.3,79.9,15.0,6.6,14.1,58.3,16.5,78.3,5.2,31.3,51.5,42.3,3.3,2.9,63.3,25.6,0.7,0.3,2.1,0.8,87.8,1.1,7.1,3.9,2.18,0.46,82.1,30.2,8.6,Mixed-Humid,79.2,3A
HI,0.31,1783.0,62.0,551.0,1600.0,100.0,88.7,10.0,62.9,,29.6,6.3,51.4,34.9,14.9,,11.3,70.2,21.7,73.5,4.8,31.0,58.1,37.3,2.8,1.8,1.3,0.3,0.0,0.8,0.0,94.0,10.6,14.7,29.1,40.0,2.06,0.4,75.2,16.4,9.5,Hot-Humid,100.0,1A
IA,1.036,2371.0,2177.0,1836.0,2250.0,100.0,93.5,88.3,53.9,79.4,65.0,47.6,35.8,61.6,12.8,6.8,15.1,56.8,17.3,66.3,16.4,14.2,55.6,39.0,2.0,3.4,86.2,4.3,0.3,5.8,1.7,0.0,84.5,1.2,11.4,2.7,1.7,0.41,53.1,13.4,33.5,Cold,100.0,5A
ID,0.512,2247.0,2098.0,1590.0,2060.0,100.0,95.1,41.8,82.2,77.1,64.5,34.3,71.3,53.2,7.5,3.5,10.5,71.8,13.1,57.8,29.1,21.1,60.5,32.9,2.3,4.3,76.2,2.7,0.5,1.3,6.0,0.0,69.8,1.0,10.2,17.3,2.07,0.29,75.8,36.0,12.8,Cold,100.0,5B
IL,3.09,2444.0,2232.0,2046.0,2260.0,100.0,91.2,77.6,57.8,78.2,65.6,44.9,33.8,65.3,11.6,9.8,14.0,58.1,16.2,68.4,15.4,17.2,44.4,46.4,3.7,5.5,88.8,1.6,0.0,6.4,1.1,0.7,87.8,0.3,8.9,2.1,1.86,0.52,65.1,13.5,24.5,Cold,84.5,5A
IN,2.115,2269.0,2059.0,1869.0,1990.0,100.0,94.1,54.7,51.2,69.7,63.4,28.0,36.7,74.3,10.0,7.1,12.0,62.8,17.0,69.9,13.1,15.6,62.1,33.3,1.5,3.0,84.9,6.4,0.3,3.5,2.2,0.5,84.9,0.2,10.0,4.9,1.74,0.43,60.1,18.6,23.9,Cold,79.5,5A
KS,0.842,2309.0,2128.0,1982.0,2080.0,100.0,93.8,73.4,77.3,82.3,73.6,56.7,51.9,73.8,5.9,2.5,13.8,71.5,27.7,53.7,18.6,22.1,57.9,30.2,3.1,8.7,90.2,3.4,0.0,0.6,0.6,0.0,93.0,0.0,5.3,1.7,1.95,0.41,63.4,18.6,21.8,Mixed-Humid,94.8,4A
